key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_006,2020-06-15,2,0,117,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-12,8,0,106,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-05,31,0,857,26,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-31,37,1,712,24,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-31,0,0,48,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-08,11,0,266,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-21,20,2,472,18,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-20,10,0,149,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-14,19,0,1024,34,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-01,21,1,733,25,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-12,0,0,0,0,176076,Argentina,City of Buenos Aires,Caballito,2
